"ctid","id_conoscenza","id_competenza","descrizione"
"(68,46)","2000018","24010201106","Qualità e sicurezza microbiologica degli alimenti per una corretta manipolazione degli stessi"
"(68,47)","2000018","24010201106","Standard di qualità dei prodotti alimentari per una corretta conservazione"
"(69,5)","2000128","24010201402","Principi comuni e aspetti applicativi della legislazione vigente in materia di sicurezza;"
"(69,8)","2000128","24010201402","Sicurezza sul lavoro: regole e modalità di comportamento (generali e specifiche);"
"(69,18)","2000128","24010201404","Sicurezza sul lavoro: regole e modalità di comportamento (generali e specifiche);"
"(69,21)","2000128","24010201404","Principi comuni e aspetti applicativi della legislazione vigente in materia di sicurezza;"
"(70,53)","2000258","24010201504","Procedure di conduzione del processo di pastorizzazione e parametri di lavorazione (tempi, umidità, temperatura, pressione)"
"(70,54)","2000258","24010201504","Tecniche di essiccamento"
"(70,55)","2000258","24010201504","Tecniche di pastorizzazione"
"(70,56)","2000258","24010201504","Parametri per l’applicazione della procedura di raffreddamento"
"(70,57)","2000258","24010201504","Tecniche di raffreddamento"
"(73,51)","2000277","24010201602"," Tecniche di analisi e rappresentazione di processo (mock recall)"
"(73,52)","2000277","24010201602"," Principali caratteristiche del bilancio di massa"
"(73,53)","2000277","24010201602"," Strumenti e tecniche per l'analisi qualitativa e quantitativa"
"(73,54)","2000277","24010201602"," Principali certificazioni (obbligatorie e volontarie) in ambito agro-alimentare e mangimistico"
"(73,55)","2000277","24010201602","Principali riferimenti legislativi e normativi in materia di HACCP, igiene e sicurezza dei prodotti alimentari e dei mangimi"
"(73,56)","2000277","24010201602","Metodologie di analisi del rischio e piano di controllo"
"(73,57)","2000277","24010201602","Metodologie di stesura del Manuale di tracciabilità"
"(73,58)","2000277","24010201602","Principi comuni e aspetti applicativi della legislazione vigente in materia di sicurezza"
"(73,59)","2000277","24010201602","La sicurezza sul lavoro: regole e modalità di comportamento (generali e specifiche)"
"(74,5)","2000277","24010201603","Principi comuni e aspetti applicativi della legislazione vigente in materia di sicurezza"
"(74,6)","2000277","24010201603","La sicurezza sul lavoro: regole e modalità di comportamento (generali e specifiche)"
"(74,8)","2000277","24010201604","Metodologie di analisi del rischio e piano di controllo"
"(74,12)","2000277","24010201604","Principali riferimenti legislativi e normativi in materia di HACCP, igiene e sicurezza dei prodotti alimentari e dei mangimi"
"(74,15)","2000277","24010201604","La sicurezza sul lavoro: regole e modalità di comportamento (generali e specifiche)"
